chaos_id,canonical_smiles,molecular_formula
479,C#CC(O)(C(C)C)C(C)C,C9H16O
480,C#CC(O)(C=C(C)C)CCOC,C10H16O2
481,C#CC(O)(CC(C)C)CC(C)C,C11H20O
482,C#CC(O)(CC)C(C)(C)C,C9H16O
483,C#CC(O)(CC)C(C)(C)CC,C10H18O
484,C#CC(O)(CC)CC,C7H12O
485,C#CC(O)(CC)CCCC(C)CCCC(C)CCCC(C)C,C21H40O
486,C#CC(O)(CCC)CCC,C9H16O
487,C#CC(O)(CCOC)COC,C8H14O3
488,C#CC(O)(CCOC)COCC,C9H16O3
489,C#CC(O)(CCOCC)COCC,C10H18O3
490,C#CC(O)(c1ccccc1)c1ccccc1,C15H12O
491,C#CC(O)/C(=C/CCC)CC,C10H16O
492,C#CC(O)/C(C)=C\C,C7H10O
493,C#CC(O)/C=C/C,C6H8O
494,C#CC(O)/C=C\c1ccccc1,C11H10O
495,C#CC(O)C(=C)C,C6H8O
496,C#CC(O)C(C)C,C6H10O
497,C#CC(O)C(CC)CCCC,C10H18O
498,C#CC(O)C=C,C5H6O
499,C#CC(O)C=C(C)C,C7H10O
500,C#CC(O)CC,C5H8O
501,C#CC(O)CC(C)CCC=C(C)C,C12H20O
502,C#CC(O)CCC,C6H10O
503,C#CC(O)CCCC,C7H12O
504,C#CC(O)CCCCC,C8H14O
505,C#CC(O)CCCCCC,C9H16O
506,C#CC(O)CCCCCCCCCCC,C14H26O
507,C#CC(O)c1ccccc1,C9H8O
508,C#CC(O)c1ccco1,C7H6O2
509,C#CC(OC(=O)C1C(C=C(C)C)C1(C)C)/C(C)=C/CC,C18H26O2
510,C#CC(OC(C)=O)c1ccccc1,C11H10O2
511,C#CC(OC(N)=O)c1ccccc1,C10H9NO2
512,C#CC(OC)OC,C5H8O2
513,C#CC(OS(=O)(=O)C(F)(F)F)=C(C)C,C7H7F3O3S
